2007 :  Panzer Elite Action: Dunes of War 
2007 :  Silent Hunter 4: Wolves of the Pacific 
2007 :  Blazing Angels 2: Secret Missions of WWII 
2007 :  Attack on Pearl Harbor 
2007 :  Theatre Of War 
2007 :  Panzer Tactics DS 
2007 :  Battlestations: Midway 
2007 :  Close Combat VI: Cross Of Iron 
2007 :  Company of Heroes: Opposing Fronts 
2007 :  Making History: The Calm & The Storm 
2008 :  Call of Duty: World at War 
2008 :  Brothers in Arms: Hell's Highway 
2008 :  Brothers in Arms: Double Time 
2008 :  Operation Thunderstorm 
2008 :  Turning Point: Fall of Liberty 
2008 :  Sniper: Art of Victory 
2008 :  Death to Spies: Moment of Truth 
2008 :  T-34 vs Tiger 
2008 :  Steel Fury – Kharkov 1942 
2008 :  Digital Combat Simulator 
2008 :  WWII Aces 
2008 :  Talvisota: Icy Hell 
2008 :  Sudden Strike 3 
2008 :  Men of War 
2008 :  Spring: 1944 
2008 :  Officers: World War 2 - Operation Overlord 
2008 :  World War II – Road to Victory 
2008 :  Battle of Asia in World War II: The Great Raid 
2008 :  Strategic Command WWII Pacific Theater 
2009 :  Battlefield Heroes 
2009 :  Battlefield 1943 
2009 :  Wolfenstein 
2009 :  Wolfschanze 2 
2009 :  Velvet Assassin 
2009 :  The Saboteur 
2009 :  World War II Online: Battleground Europe 
2009 :  Air Conflicts: Aces of World War II 
2009 :  Heroes over Europe 
2009 :  IL-2 Sturmovik: Birds of Prey 
2009 :  Men of War 
2009 :  Order Of War 
2009 :  Battlestations: Pacific 
2009 :  Company of Heroes: Tales of Valor 
2009 :  Red Tide 
2009 :  War Leaders: Clash of Nations 
2009 :  Military History Commander Europe at War 
2009 :  War in the Pacific: Admiral's Edition 
2009 :  Hearts of Iron III 
2009 :  Commander: Europe at War 
2009 :  Blitz 1941 
2010 :  Mafia II 
2010 :  World of Tanks 
2010 :  Silent Hunter V: Battle of the Atlantic 
2010 :  Wings of Prey 
2010 :  Pearl Harbor Trilogy – 1941: Red Sun Rising 
2010 :  R.U.S.E. 
2010 :  Strategic Command WWII Global Conflict 
2010 :  Making History II: The War of the World 
2011 :  Red Orchestra 2: Heroes of Stalingrad 
2011 :  Dino D-Day 
2011 :  Air Conflicts: Secret Wars 
2011 :  IL-2 Sturmovik: Cliffs of Dover 
2011 :  Men of War: Assault Squad 
2011 :  Achtung Panzer Operation Star 
2011 :  Assault Squad 
2011 :  Panzer Corps 
2011 :  Legends of War 
2011 :  Unity of Command 
2012 :  Heroes and Generals 
2012 :  Sniper Elite V2 
2012 :  Iron Front: Liberation 1944 
2012 :  Birds of Steel 
2012 :  Damage Inc. Pacific Squadron WWII 
